year,month,average
2325,7,1458.123787
2325,8,1457.372912
2325,9,1459.844544
2325,10,1464.809422
2325,11,1469.325187
2325,12,1471.941776
2326,1,1473.245056
2326,2,1473.525684
2326,3,1473.201218
2326,4,1472.154019
2326,5,1468.779893
2326,6,1462.598075
2326,7,1457.514053
2326,8,1456.761552
2326,9,1459.231669
2326,10,1464.195105
2326,11,1468.709652
2326,12,1471.325465
2327,1,1472.628381
2327,2,1472.909086
2327,3,1472.585127
2327,4,1471.538907
2327,5,1468.166448
2327,6,1461.986902
2327,7,1456.904938
2327,8,1456.15398
2327,9,1458.625739
2327,10,1463.590762
2327,11,1468.106867
2327,12,1470.724304
2328,1,1472.028761
2328,2,1472.310826
2328,3,1471.98792
2328,4,1470.942362
2328,5,1467.570276
2328,6,1461.390773
2328,7,1456.307888
2328,8,1455.554935
2328,9,1458.024432
2328,10,1462.98696
2328,11,1467.500554
2328,12,1470.115753
2329,1,1471.418282
2329,2,1471.69883
2329,3,1471.374874
2329,4,1470.328847
2329,5,1466.957155
2329,6,1460.778877
2329,7,1455.697224
2329,8,1454.945191
2329,9,1457.415898
2329,10,1462.379757
2329,11,1466.894815
2329,12,1469.511691
2330,1,1470.815947
2330,2,1471.098162
2330,3,1470.775671
2330,4,1469.730811
2330,5,1466.36007
2330,6,1460.182448
2330,7,1455.100493
2330,8,1454.34707
2330,9,1456.816077
2330,10,1461.777942
2330,11,1466.290903
2330,12,1468.905846
2331,1,1470.208348
2331,2,1470.489062
2331,3,1470.165362
2331,4,1469.119672
2331,5,1465.748743
2331,6,1459.57157
2331,7,1454.489934
2331,8,1453.736445
2331,9,1456.205657
2331,10,1461.167883
2331,11,1465.681434
2331,12,1468.297331
2332,1,1469.601047
2332,2,1469.883183
2332,3,1469.561026
2332,4,1468.516961
2332,5,1465.147881
2332,6,1458.972695
2332,7,1453.892442
2332,8,1453.139499
2332,9,1455.609107
2332,10,1460.571496
2332,11,1465.085074
2332,12,1467.701032
2333,1,1469.004762
2333,2,1469.286844
2333,3,1468.964509
2333,4,1467.920132
2333,5,1464.550775
2333,6,1458.375296
2333,7,1453.294049
2333,8,1452.539253
2333,9,1455.006901
2333,10,1459.967209
2333,11,1464.478753
2333,12,1467.092958
2334,1,1468.39521
2334,2,1468.676135
2334,3,1468.352976
2334,4,1467.308169
2334,5,1463.939011
2334,6,1457.764353
2334,7,1452.683787
2334,8,1451.929266
2334,9,1454.397428
2334,10,1459.358365
2334,11,1463.870713
2334,12,1466.486027
2335,1,1467.789573
2335,2,1468.071919
2335,3,1467.75021
2335,4,1466.706835
2335,5,1463.33922
2335,6,1457.166124
2335,7,1452.086416
2335,8,1451.331858
2335,9,1453.799806
2335,10,1458.760308
2335,11,1463.272133
2335,12,1465.887039
2336,1,1467.190252
2336,2,1467.472353
2336,3,1467.15047
2336,4,1466.107017
2336,5,1462.739624
2336,6,1456.567023
2336,7,1451.487364
2336,8,1450.732194
2336,9,1453.199566
2336,10,1458.159456
2336,11,1462.670746
2336,12,1465.285376
2337,1,1466.588507
2337,2,1466.870712
2337,3,1466.549075
2337,4,1465.506017
2337,5,1462.139348
2337,6,1455.967753
2337,7,1450.888644
