location,Latitude,SunInclination,Altitude
2201,51.707372,-4,10
2202,51.725236,-4,10
2203,51.690975,-4,10
2204,51.674795,-4,10
2205,51.688057,-4,10
2206,51.681133,-4,10
2210,51.698987,-4,10
2211,51.694237,-4,10
2212,51.658293,-4,10
2214,51.648671,-4,10
2215,51.672605,-4,10
2217,51.655679,-4,10
2219,51.656942,-4,10
2220,51.632299,-4,10
2222,51.627995,-4,10
2223,51.647178,-4,10
2224,51.63408,-4,10
2229,51.579674,-4,10
2230,51.579199,-4,10
2233,51.582906,-4,10
2234,51.605615,-4,10
2235,51.607342,-4,10
2238,51.587031,-4,10
2241,51.620852,-4,10
2242,51.616602,-4,10
2244,51.645516,-4,10
2245,51.641014,-4,10
2246,51.622156,-4,10
2247,51.630705,-4,10
2250,51.620966,-4,10
2251,51.623811,-4,10
2252,51.648117,-4,10
2253,51.650306,-4,10
2254,51.644758,-4,10
2259,51.629205,-4,10
2260,51.650818,-4,10
2262,51.660912,-4,10
2273,51.615245,-4,10
2274,51.63544,-4,10
2275,51.647831,-4,10
2276,51.628835,-4,10
2277,51.630715,-4,10
2282,51.601485,-4,10
2284,51.624207,-4,10
2285,51.617608,-4,10
2287,51.595078,-4,10
2289,51.579217,-4,10
2290,51.572536,-4,10
2291,51.589912,-4,10
2300,51.528361,-4,10
2301,51.531948,-4,10
2302,51.525111,-4,10
2303,51.501552,-4,10
2304,51.516264,-4,10
2306,51.541681,-4,10
2311,51.544956,-4,10
2318,51.53076,-4,10
2319,51.549915,-4,10
2320,51.559725,-4,10
2321,51.569384,-4,10
2322,51.544728,-4,10
2324,51.539331,-4,10
2327,51.559043,-4,10
2330,51.583156,-4,10
2338,51.562109,-4,10
2340,51.579276,-4,10
2347,51.563814,-4,10
2348,51.550671,-4,10
2349,51.556393,-4,10
2350,51.538469,-4,10
2351,51.559403,-4,10
2353,51.5257,-4,10
2354,51.551239,-4,10
2355,51.534128,-4,10
2357,51.554581,-4,10
2358,51.524824,-4,10
2359,51.513878,-4,10
2360,51.52207,-4,10
2361,51.522296,-4,10
2362,51.514778,-4,10
2363,51.50341,-4,10
2369,51.478975,-4,10
2370,51.491831,-4,10
2378,51.418575,-4,10
2379,51.429928,-4,10
2380,51.455625,-4,10
2381,51.457,-4,10
2387,51.459484,-4,10
2388,51.453935,-4,10
2389,51.470001,-4,10
2390,51.455934,-4,10
2393,51.46331,-4,10
2394,51.498538,-4,10
2397,51.500716,-4,10
2402,51.498716,-4,10
2403,51.510717,-4,10
2404,51.505661,-4,10
2405,51.490129,-4,10
2406,51.51259,-4,10
2407,51.491632,-4,10
2408,51.501368,-4,10
2409,51.478505,-4,10
2410,51.521563,-4,10
2411,51.475701,-4,10
2414,51.514569,-4,10
2417,51.485229,-4,10
2418,51.478872,-4,10
2422,51.499622,-4,10
2423,51.476328,-4,10
2424,51.478271,-4,10
2425,51.481043,-4,10
2427,51.471498,-4,10
2430,51.493918,-4,10
2431,51.475419,-4,10
2432,51.455627,-4,10
2433,51.452692,-4,10
2435,51.464837,-4,10
2436,51.466425,-4,10
2438,51.433922,-4,10
2439,51.460582,-4,10
2440,51.448961,-4,10
2441,51.452514,-4,10
2442,51.424783,-4,10
2443,51.437132,-4,10
2444,51.442953,-4,10
2452,51.398097,-4,10
2455,51.369606,-4,10
2456,51.371005,-4,10
2458,51.393573,-4,10
2460,51.400131,-4,10
2463,51.382227,-4,10
2465,51.415336,-4,10
2468,51.418269,-4,10
2475,51.406882,-4,10
2479,51.421831,-4,10
2481,51.447105,-4,10
2482,51.445562,-4,10
2485,51.443337,-4,10
2486,51.419501,-4,10
2487,51.420729,-4,10
2488,51.4258,-4,10
2489,51.422518,-4,10
2491,51.41852,-4,10
2492,51.410536,-4,10
2493,51.413939,-4,10
2495,51.422888,-4,10
2497,51.40837,-4,10
2498,51.41028,-4,10
2499,51.435827,-4,10
2500,51.431199,-4,10
2501,51.426638,-4,10
2502,51.413763,-4,10
2503,51.397532,-4,10
2504,51.410224,-4,10
2505,51.395578,-4,10
2507,51.387829,-4,10
2508,51.422295,-4,10
2509,51.384186,-4,10
2510,51.412393,-4,10
2512,51.382884,-4,10
2513,51.389246,-4,10
2514,51.399494,-4,10
2515,51.357253,-4,10
2516,51.380132,-4,10
