PointID,NUTS_ID,NUTS_NAME,STATE_NAME,Latitude,Longitude,nearest_grid_id,nearest_latitude,nearest_longitude,distance_deg
113,DEF0A,Plön,Schleswig-Holstein,54.308182,10.662123,C520R81,54.279999999999994,10.66,0.028261851549402344
114,DEF08,Ostholstein,Schleswig-Holstein,54.2943,10.802587,C534R81,54.279999999999994,10.8,0.014532121971693093
116,DEF08,Ostholstein,Schleswig-Holstein,54.305254,11.052563,C556R78,54.309999999999995,11.02,0.032907043091106696
119,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.264379,12.584252,C712R83,54.26,12.58,0.0061036992881362395
120,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.257052,12.771537,C731R83,54.26,12.77,0.003324616218450061
121,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.273505,12.901607,C744R82,54.269999999999996,12.9,0.0038558363554523916
123,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.240237,13.126317,C767R85,54.239999999999995,13.129999999999999,0.0036906175634971437
124,DEF05,Dithmarschen,Schleswig-Holstein,54.234951,8.952408,C349R86,54.23,8.95,0.0055055304013381275
125,DEF05,Dithmarschen,Schleswig-Holstein,54.23014,9.069681,C361R86,54.23,9.07,0.00034836905718101194
126,DEF05,Dithmarschen,Schleswig-Holstein,54.212894,9.224529,C376R88,54.209999999999994,9.22,0.005374669943357084
127,DEF05,Dithmarschen,Schleswig-Holstein,54.242336,9.325352,C387R85,54.239999999999995,9.33,0.005201999615535107
128,DEF05,Dithmarschen,Schleswig-Holstein,54.221206,9.395286,C394R87,54.22,9.4,0.004865822849221604
129,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.210269,9.559228,C410R88,54.209999999999994,9.559999999999999,0.0008175236999628205
131,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.211149,9.798791,C434R88,54.209999999999994,9.8,0.0016678974788681142
132,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.214354,9.931803,C447R88,54.209999999999994,9.93,0.004712549734491743
134,DEF0A,Plön,Schleswig-Holstein,54.239864,10.173296,C471R85,54.239999999999995,10.17,0.0032988046319846736
136,DEF0A,Plön,Schleswig-Holstein,54.254299,10.413307,C495R84,54.25,10.41,0.005423804015635512
137,DEF08,Ostholstein,Schleswig-Holstein,54.225662,10.552044,C509R86,54.23,10.55,0.004795433244241168
138,DEF08,Ostholstein,Schleswig-Holstein,54.224849,10.704047,C524R87,54.22,10.7,0.006315933026877366
140,DEF08,Ostholstein,Schleswig-Holstein,54.244708,10.920638,C546R85,54.239999999999995,10.92,0.004751032308885629
141,DEF08,Ostholstein,Schleswig-Holstein,54.219498,11.044848,C555R87,54.22,11.01,0.034851615572309015
144,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.203509,12.497281,C704R89,54.199999999999996,12.5,0.004439148792281247
145,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.221989,12.612601,C715R87,54.22,12.61,0.0032743429875333294
146,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.201988,12.78918,C733R89,54.199999999999996,12.79,0.0021504752963044677
147,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.184837,12.823799,C736R91,54.18,12.82,0.0061505259937676485
148,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.194392,13.023565,C756R90,54.19,13.02,0.005656756049188017
149,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.189792,13.107598,C765R90,54.19,13.11,0.0024109890086850966
150,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.165115,13.231011,C777R92,54.169999999999995,13.23,0.0049885214242244395
151,DEF05,Dithmarschen,Schleswig-Holstein,54.156877,8.906728,C345R89,54.199999999999996,8.91,0.04324695495638403
152,DEF05,Dithmarschen,Schleswig-Holstein,54.14441,9.104766,C365R95,54.14,9.11,0.006844184100387531
153,DEF05,Dithmarschen,Schleswig-Holstein,54.157869,9.159255,C370R93,54.16,9.16,0.002257473366397519
155,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.166361,9.460998,C400R92,54.169999999999995,9.46,0.0037733705092323796
156,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.1726,9.533787,C407R92,54.169999999999995,9.530000000000001,0.0045936226444969926
158,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.153589,9.842693,C438R94,54.15,9.84,0.004487000111431914
160,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.146746,10.011629,C455R94,54.15,10.01,0.003638977466265378
161,DEF0A,Plön,Schleswig-Holstein,54.173492,10.14019,C468R92,54.169999999999995,10.14,0.003497165137659251
162,DEF0A,Plön,Schleswig-Holstein,54.150725,10.263031,C480R94,54.15,10.26,0.003116502206000186
166,DEF08,Ostholstein,Schleswig-Holstein,54.173964,10.811197,C535R92,54.169999999999995,10.81,0.004140785553494133
167,DEF08,Ostholstein,Schleswig-Holstein,54.146479,10.906813,C540R94,54.15,10.86,0.04694522776598293
170,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.156629,11.978856,C652R97,54.12,11.98,0.036646860397588764
171,DE803,"Rostock, Kreisfreie Stadt",Mecklenburg-Vorpommern,54.123657,12.124794,C666R97,54.12,12.120000000000001,0.00602960073305159
172,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.121321,12.246916,C679R97,54.12,12.25,0.003355010730237373
175,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.119167,12.654535,C719R97,54.12,12.65,0.004610869115469411
176,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.139066,12.767809,C731R95,54.14,12.77,0.00238177181946569
177,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.11029,12.876196,C742R98,54.11,12.879999999999999,0.0038150381387334446
179,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.121211,13.132532,C767R97,54.12,13.129999999999999,0.002806696456693197
181,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.105706,13.326774,C787R98,54.11,13.33,0.005370801802339365
182,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.106941,13.601396,C814R100,54.089999999999996,13.600000000000001,0.016998420426618695
183,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.122035,13.683583,C824R97,54.12,13.7,0.016542645314457954
184,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.111531,13.848791,C831R98,54.11,13.77,0.07880587314407546
185,DEF05,Dithmarschen,Schleswig-Holstein,54.082606,9.083964,C365R101,54.08,9.11,0.026166095085051855
186,DEF05,Dithmarschen,Schleswig-Holstein,54.073301,9.185467,C373R102,54.06999999999999,9.19,0.005607556508859535
187,DEF05,Dithmarschen,Schleswig-Holstein,54.06448,9.288557,C383R103,54.059999999999995,9.29,0.0047066600684633145
188,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.098926,9.427593,C397R99,54.099999999999994,9.43,0.0026357399340583023
190,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.088815,9.654062,C419R100,54.089999999999996,9.65,0.00423132000680563
191,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.099609,9.810736,C435R99,54.099999999999994,9.81,0.0008334128628684528
192,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.08196,9.911647,C445R101,54.08,9.91,0.0025601189425524936
193,DEF0A,Plön,Schleswig-Holstein,54.090896,10.045689,C459R100,54.089999999999996,10.05,0.004403128092619957
194,DEF0A,Plön,Schleswig-Holstein,54.084273,10.127265,C467R101,54.08,10.129999999999999,0.005073337560229824
195,DEF0D,Segeberg,Schleswig-Holstein,54.075565,10.267719,C481R101,54.08,10.27,0.0049872022216877745
197,DEF0D,Segeberg,Schleswig-Holstein,54.060357,10.540889,C508R103,54.059999999999995,10.54,0.0009580031315226774
198,DEF08,Ostholstein,Schleswig-Holstein,54.069081,10.62175,C516R102,54.06999999999999,10.620000000000001,0.001976628695529594
200,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.072847,11.682662,C622R102,54.06999999999999,11.68,0.003897647110765712
201,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.084248,11.744728,C628R101,54.08,11.74,0.006356059156429778
202,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.070612,11.867088,C641R102,54.06999999999999,11.870000000000001,0.002975615566568728
203,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.088459,11.998926,C654R100,54.089999999999996,12.0,0.0018783388938064028
205,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.082585,12.225994,C677R101,54.08,12.23,0.004767626348616334
206,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.069498,12.323575,C686R102,54.06999999999999,12.32,0.0036100732679528505
207,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.043712,12.466134,C701R105,54.04,12.469999999999999,0.0053595615492305244
208,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.059111,12.616327,C716R103,54.059999999999995,12.620000000000001,0.003779054114457161
210,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.038126,12.841978,C738R105,54.04,12.84,0.002724767880022182
211,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.059557,12.967748,C751R103,54.059999999999995,12.969999999999999,0.002295158600182362
212,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.057623,13.134853,C767R103,54.059999999999995,13.129999999999999,0.00540386324771322
213,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.049753,13.224292,C776R104,54.05,13.219999999999999,0.004299101417739343
214,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.015076,13.34756,C789R107,54.019999999999996,13.350000000000001,0.005495395891104136
215,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.040144,13.500874,C804R105,54.04,13.5,0.0008857832692024353
218,DEF05,Dithmarschen,Schleswig-Holstein,54.022188,8.961167,C350R107,54.019999999999996,8.96,0.002479764706582881
219,DEF05,Dithmarschen,Schleswig-Holstein,54.020335,9.088216,C363R107,54.019999999999996,9.09,0.0018151807072594726
220,DEF05,Dithmarschen,Schleswig-Holstein,54.000776,9.230286,C377R109,54.0,9.23,0.0008270259971744688
221,DEF0E,Steinburg,Schleswig-Holstein,53.996442,9.336465,C388R109,54.0,9.34,0.005015534767099392
222,DEF0E,Steinburg,Schleswig-Holstein,54.01065,9.403716,C394R108,54.01,9.4,0.003772420443162782
225,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.02678,9.820952,C436R106,54.029999999999994,9.82,0.003357782601650499
229,DEF0D,Segeberg,Schleswig-Holstein,54.02433,10.282536,C482R107,54.019999999999996,10.280000000000001,0.005017987245900732
230,DEF0D,Segeberg,Schleswig-Holstein,54.017689,10.446368,C499R107,54.019999999999996,10.45,0.004304897792049423
232,DEF08,Ostholstein,Schleswig-Holstein,53.997588,10.670263,C521R109,54.0,10.67,0.002426296148453117
233,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.99473,11.118462,C566R113,53.959999999999994,11.120000000000001,0.03476403808535815
234,DE80M,Nordwestmecklenburg,Mecklenburg-Vorpommern,53.980218,11.525144,C607R111,53.98,11.530000000000001,0.004860890864853972
236,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.990122,11.775549,C632R110,53.989999999999995,11.780000000000001,0.004452671669909296
237,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,54.002707,11.919296,C646R109,54.0,11.92,0.0027970457629445176
238,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.989874,12.001562,C654R110,53.989999999999995,12.0,0.0015670737059877316
240,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.981224,12.270876,C681R111,53.98,12.27,0.0015051750728739665
241,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.972445,12.33772,C688R112,53.97,12.34,0.003343116061403053
242,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.992882,12.512634,C705R110,53.989999999999995,12.51,0.0039043411736221466
243,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.996391,12.644253,C718R109,54.0,12.64,0.005577892971363201
244,DE80K,Landkreis Rostock,Mecklenburg-Vorpommern,53.980665,12.713639,C725R111,53.98,12.71,0.00369926289955238
245,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,53.986615,12.886429,C743R110,53.989999999999995,12.89,0.004920392870489967
246,DE80J,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.956734,12.982144,C752R113,53.959999999999994,12.98,0.003906851929619871
247,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.990469,13.083696,C762R110,53.989999999999995,13.08,0.0037256377977468664
249,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.95257,13.363441,C790R114,53.949999999999996,13.36,0.00429480861040777
250,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.956883,13.467259,C801R113,53.959999999999994,13.469999999999999,0.0041507553529408795
251,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.968996,13.569925,C811R112,53.97,13.57,0.0010067973976941357
252,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.941969,13.694317,C823R115,53.94,13.690000000000001,0.00474483403292441
253,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.933186,13.820604,C836R116,53.93,13.82,0.0032427476004147455
254,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.947327,13.983226,C852R114,53.949999999999996,13.98,0.004189511308012926
255,DE80N,Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.962504,14.074683,C860R113,53.959999999999994,14.059999999999999,0.014894982544470822
257,DEF05,Dithmarschen,Schleswig-Holstein,53.941714,8.988194,C353R115,53.94,8.99,0.002489865859840631
258,DEF05,Dithmarschen,Schleswig-Holstein,53.921435,9.084697,C362R116,53.93,9.08,0.009768369055269914
259,DEF05,Dithmarschen,Schleswig-Holstein,53.928071,9.163114,C370R116,53.93,9.16,0.0036630638815052974
260,DEF0E,Steinburg,Schleswig-Holstein,53.919061,9.326619,C387R116,53.93,9.33,0.011449579992296878
261,DEF0E,Steinburg,Schleswig-Holstein,53.953859,9.420039,C396R114,53.949999999999996,9.42,0.0038591970667540706
262,DEF0E,Steinburg,Schleswig-Holstein,53.921789,9.559009,C410R117,53.919999999999995,9.559999999999999,0.0020451410709303795
